"region","innvandringskategori","landbakgrunn","Personer 2013","Personer 2014","Personer 2015","Personer 2016","Personer 2017","Andel av befolkningen (prosent) 2013","Andel av befolkningen (prosent) 2014","Andel av befolkningen (prosent) 2015","Andel av befolkningen (prosent) 2016","Andel av befolkningen (prosent) 2017"
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",3,4,7,12,14,0.03,0.04,0.07,0.13,0.15
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Estland",6,11,11,10,13,0.06,0.12,0.12,0.11,0.14
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",6,6,8,10,10,0.06,0.06,0.09,0.11,0.11
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Danmark",53,53,61,53,58,0.57,0.57,0.65,0.56,0.61
"0628 Hurum","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Finland",13,10,7,8,8,0.14,0.11,0.07,0.08,0.08
"0628 Hurum","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Island",16,18,25,20,17,0.17,0.19,0.27,0.21,0.18
"0628 Hurum","Innvandrere","Sverige",65,63,58,59,62,0.70,0.68,0.62,0.63,0.66
"0628 Hurum","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Belgia",3,0,0,3,3,0.02,0.00,0.00,0.02,0.02
"0628 Hurum","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Bulgaria",3,4,7,12,14,0.03,0.04,0.07,0.13,0.15
"0628 Hurum","Innvandrere","Estland",6,10,10,9,12,0.06,0.11,0.11,0.10,0.13
"0628 Hurum","Innvandrere","Frankrike",6,6,8,8,8,0.06,0.06,0.09,0.08,0.08
"0628 Hurum","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Danmark",4,4,4,4,4,0.04,0.04,0.04,0.04,0.04
"0628 Hurum","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Island",3,5,6,5,3,0.03,0.05,0.06,0.05,0.03
"0628 Hurum","Norskfødte med innvandrerforeldre","Sverige",4,5,5,3,3,0.04,0.05,0.05,0.03,0.03
"0628 Hurum","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,3,3,0.00,0.00,0.00,0.02,0.02
"0628 Hurum","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0628 Hurum","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Danmark",11,11,6,7,7,0.41,0.41,0.22,0.26,0.26
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Finland",3,0,0,0,0,0.04,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",3,3,3,0,0,0.04,0.04,0.04,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Island",3,3,3,3,3,0.11,0.07,0.07,0.07,0.07
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Sverige",11,12,10,12,9,0.41,0.45,0.37,0.44,0.33
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,3,3,0,0.00,0.00,0.04,0.04,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",5,5,5,5,5,0.19,0.19,0.19,0.19,0.19
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Danmark",11,11,6,7,7,0.41,0.41,0.22,0.26,0.26
"0631 Flesberg","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Færøyene",3,0,0,0,0,0.04,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Island",3,3,3,0,3,0.11,0.07,0.07,0.00,0.07
"0631 Flesberg","Innvandrere","Sverige",9,10,8,10,9,0.34,0.37,0.30,0.37,0.33
"0631 Flesberg","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Estland",0,3,0,0,0,0.00,0.04,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Frankrike",3,3,3,3,3,0.11,0.11,0.11,0.11,0.11
"0631 Flesberg","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Sverige",3,3,3,3,0,0.08,0.07,0.07,0.07,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Frankrike",0,3,3,3,3,0.00,0.07,0.07,0.07,0.07
"0631 Flesberg","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0631 Flesberg","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Danmark",8,9,9,8,8,0.59,0.66,0.65,0.57,0.57
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,3,0,3,0.00,0.00,0.07,0.00,0.14
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Sverige",3,4,5,5,5,0.22,0.29,0.36,0.36,0.36
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,3,3,3,0.00,0.00,0.15,0.14,0.14
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Danmark",7,7,7,6,6,0.52,0.51,0.51,0.43,0.43
"0632 Rollag","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Island",0,3,0,0,3,0.00,0.07,0.00,0.00,0.14
"0632 Rollag","Innvandrere","Sverige",3,4,5,5,5,0.22,0.29,0.36,0.36,0.36
"0632 Rollag","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Bulgaria",0,0,3,3,3,0.00,0.00,0.15,0.14,0.14
"0632 Rollag","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Danmark",0,3,3,3,3,0.00,0.15,0.15,0.14,0.14
"0632 Rollag","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0632 Rollag","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Danmark",17,21,17,9,9,0.67,0.82,0.67,0.35,0.36
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Island",3,0,0,0,0,0.08,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Sverige",4,5,5,5,6,0.16,0.20,0.20,0.20,0.24
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Belgia",3,3,3,3,3,0.08,0.08,0.08,0.08,0.08
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,3,3,0,0,0.00,0.08,0.04,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Estland",7,8,7,7,6,0.28,0.31,0.28,0.27,0.24
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Danmark",13,17,13,9,9,0.51,0.66,0.51,0.35,0.36
"0633 Nore og Uvdal","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Island",3,0,3,0,0,0.08,0.00,0.04,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Sverige",4,5,5,5,6,0.16,0.20,0.20,0.20,0.24
"0633 Nore og Uvdal","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Belgia",3,3,3,3,3,0.08,0.08,0.08,0.08,0.08
"0633 Nore og Uvdal","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Bulgaria",0,3,0,0,0,0.00,0.08,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Estland",7,8,7,7,6,0.28,0.31,0.28,0.27,0.24
"0633 Nore og Uvdal","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Danmark",4,4,4,0,0,0.16,0.16,0.16,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0633 Nore og Uvdal","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere og norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Innvandrere","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Danmark",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Grønland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Finland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Færøyene",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Island",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Sverige",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Albania",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Andorra",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Belgia",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Bosnia-Hercegovina",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Bulgaria",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Estland",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Frankrike",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Gibraltar",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"0699 Uoppgitt kommune Buskerud","Norskfødte med innvandrerforeldre","Guernsey",0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
"07 Vestfold","Innvandrere og norskfødte med innvandrerforeldre","Danmark",1218,1222,1239,1239,1259,0.51,0.51,0.51,0.51,0.51
